;Spe;txdepConsult;nbConsult
1;01-Médecine générale;2,890884402;252276584
2;02-Anesthésiologie - Réanimation chirurgicale;21,88885583;7635918
3;03-Pathologie cardio-vasculaire;7,806272385;7986172
4;04-Chirurgie générale;37,38810599;1865013
5;05-Dermatologie et vénérologie;25,3073216;14991606
6;06-Radiodiagnostic et imagerie médicale;8,824488268;241638
7;08-Gastro-entérologie et hépatologie;15,46021342;4781402
8;09-Médecine interne;41,6868386;805187
9;10-Neurochirurgie;62,35916659;358345
10;11-Oto-rhino laryngologie;30,63799576;4617243
11;12-Pédiatrie;22,70444359;20224123
12;13-Pneumologie;9,502246497;2031366
13;14-Rhumatologie;29,03724549;5385511
14;15-Ophtalmologie;53,6574205;16722848
15;16-Chirurgie urologique;45,52656234;2074173
16;17-Neuropsychiatrie;18,16840777;276188
17;18-Stomatologie;20,06234063;771728
18;20-Réanimation médicale;9,193818067;4291
19;22-Spécialistes en médecine générale avec diplÃ´me;0,363004014;28840
20;23-Spécialistes en médecine générale recpnnu par l'ordre;0,137238147;13923
21;31-Médecine physique et de réanimation;39,99601879;1159555
22;32-Neurologie;14,19910863;1837864
23;33-Psychiatrie générale;21,24559661;30826012
24;34-Gériatrie;10,35967214;187428
25;35-Néphrologie;1,178717736;2859315
26;37-Anatomie-cytologie-pathologique;84,64153479;2391
27;38-Médecin biologiste;20,63474882;4233
28;41-Chirurgie orthopédique et traumatologie;48,27389366;5962176
29;42-Endocrinologie;31,42531159;3545285
30;43-Chirurgie infantile;37,74955898;113835
31;44-Chirurgie maxillo-faciale;31,08578554;70738
32;45-Chirurgie maxillo-faciale et stomatologie;27,78098156;348004
33;46-Chirurgie plastique reconstructrice et esthétique;53,26711158;434619
34;47-Chirurgie thoracique et cardio-vasculaire;21,10556248;132089
35;48-Chirurgie vasculaire;31,17023423;351345
36;49-Chirurgie viscérale et digestive;34,59431536;782628
37;69-Chirurgie orale médicale;0;110
38;70-Gynécologie médicale;38,3631287;6277516
39;71-Hémathologie;20,51840181;124300
40;72-Médecine nucléaire;9,167711342;7756
41;73-Oncologie médicale;17,9785777;1004253
42;74-Oncologie radiothérapique;7,191081737;954744
43;"75-Psychiatrie de l""enfant et de l""adolescent";32,06911059;272478
44;76-Radiothérapie;11,10593322;323130
45;78-Génétique médicale;68,94188876;6274
47;100-Gynécologie obstétrique;62,82312144;14516756
