l_Spe;Tx dep
35-Néphrologie;0,320950694
38-Médecin biologiste;0,333848069
72-Médecine nucléaire;0,522153325
76-Radiothérapie;0,847782808
74-Oncologie radiothérapique;1,213871328
20-Réanimation médicale;1,278622053
37-Anatomie-cytologie-pathologique;4,064449796
13-Pneumologie;4,198261178
03-Pathologie cardio-vasculaire;4,660313861
06-Radiodiagnostic et imagerie médicale;5,644919746
73-Oncologie médicale;7,230959639
32-Neurologie;7,954859528
71-Hémathologie;8,553865004
34-Gériatrie;10,64534673
47-Chirurgie thoracique et cardio-vasculaire;13,63370683
08-Gastro-entérologie et hépatologie;14,41323768
17-Neuropsychiatrie;14,98602851
33-Psychiatrie générale;19,43066487
14-Rhumatologie;20,49520533
12-Pédiatrie;20,81964689
05-Dermatologie et vénérologie;23,87873527
31-Médecine physique et de réanimation;25,03441166
09-Médecine interne;27,56458237
11-Oto-rhino laryngologie;27,62349935
02-Anesthésiologie - Réanimation chirurgicale;28,57792047
70-Gynécologie médicale;29,74150429
48-Chirurgie vasculaire;30,1023216
42-Endocrinologie;30,8126912
75-Psychiatrie de l'enfant et de l'adolescent;31,02559137
15-Ophtalmologie;34,70500324
78-Génétique médicale;42,1733324
04-Chirurgie générale;44,34265756
49-Chirurgie viscérale et digestive;44,87021333
16-Chirurgie urologique;44,94857324
Gynécologie obstétrique;45,18767424
43-Chirurgie infantile;48,94555806
41-Chirurgie orthopédique et traumatologie;54,86186918
69-Chirurgie orale médicale;64,02831105
45-Chirurgie maxillo-faciale et stomatologie;64,10772875
44-Chirurgie maxillo-faciale;69,02970038
10-Neurochirurgie;73,12055826
18-Stomatologie;90,69101749
46-Chirurgie plastique reconstructrice et esthétique;141,9113642
